precursor_mz,precursor_intensity,charge,ms2_mz,ms2_intensity,ms2_max_intensity,ms2_relative_intensity,filename,sample,candidate_ID
250.07975769043,1476110.869453,1,134.0318756,2773.9240722656,4864.8564453125,57.0,ORB59709,SP01,"['[dC +Na]', '[dG+_or_ncm6dA+2(H2O)+Ca]', '[dG+_or_ncm6dA+2(H2O)+H+K]']"
252.1090128373127,1192257.9750062225,1,136.06153900408162,317411.63984275353,320647.5428890306,86.3,ORB59709,SP01,['[dA +H]']
268.103973388672,378544.3972397,1,152.0563812,18885.25390625,18885.25390625,100.0,ORB59709,SP01,['[dG +H]']
274.091064453125,1847553.380829,1,158.0435257,718.32289123535,4187.8227539063,17.2,ORB59709,SP01,['[dA +Na]']
281.074340820313,17879499.53852,1,165.02681735,591122.90625,591122.90625,100.0,ORB59709,SP01,"['[hm5dU +Na]', '[dG+_or_ncm6dA+TFA+Mg]']"
290.085968017578,509526.29265215003,1,174.03840635,66203.8416748047,66613.05493164065,90.0,ORB59709,SP01,['[dG +Na]']
541.135620117188,1805164.630722,1,425.0881348,18424.015625,42857.8828125,43.0,ORB59709,SP01,[]
243.097610473633,806719.6430359,1,127.0497894,4952.7915039063,7959.0234375,62.2,ORB59710,T4,['[dT +H]']
252.10902670155417,3523864.7725880085,1,136.06155758695652,337885.12611057446,341401.29775602923,89.2,ORB59710,T4,['[dA +H]']
265.079437255859,8538831.156235,1,149.0321808,18185.212392171234,46260.52905273437,29.5,ORB59710,T4,['[dT +Na]']
266.124837239583,589044.1387761333,1,150.0774587,23012.6483561198,25814.695963541668,69.8,ORB59710,T4,['[m6dA +H]']
268.104125976563,2945214.703796,1,152.0566559,342302.71875,342302.71875,100.0,ORB59710,T4,['[dG +H]']
290.086181640625,4614760.577881,1,174.03862,116899.1953125,116899.1953125,100.0,ORB59710,T4,['[dG +Na]']
420.1611328125,8606562.90281225,1,304.11364745000003,1629869.1557617188,1633183.6171875,92.1,ORB59710,T4,"['[5gmdC +H]', '[5-gluT+MeOH+H]']"
442.1429748535155,1975007.1555785001,1,326.09541320000005,129683.5106201172,152257.650390625,53.1,ORB59710,T4,"['[5gmdC +Na]', '[5-gluT+MeOH+Na]']"
539.1064453125,1083030.715012,1,423.0592957,5915.330078125,17126.771484375,34.5,ORB59710,T4,[]
