scan,retention_sec,precursor_mz,precursor_intensity,charge,ms2_mz,ms2_intensity,ms2_max_intensity,ms2_relative_intensity,filename
196,545.7085,252.108963012695,167664.2348251,1,136.0613251,5190.5336914063,5190.5336914063,100.0,ORB59709
202,562.4885,252.108963012695,159647.5497894,1,136.0604401,175.4169769287,10919.6279296875,1.6,ORB59709
202,562.4885,252.108963012695,159647.5497894,1,136.0614166,10919.6279296875,10919.6279296875,100.0,ORB59709
202,562.4885,252.108963012695,159647.5497894,1,136.0621033,457.1560974121,10919.6279296875,4.2,ORB59709
210,585.2186,252.109008789063,158895.204628,1,136.0614166,11410.91015625,11410.91015625,100.0,ORB59709
217,605.069,252.108978271484,169301.9350433,1,136.0614624,11555.3388671875,11555.3388671875,100.0,ORB59709
224,624.8692,252.108932495117,176788.9720688,1,136.0613251,4916.5532226563,4916.5532226563,100.0,ORB59709
231,644.6487,252.108963012695,167266.7621918,1,136.0614014,9057.189453125,9057.189453125,100.0,ORB59709
231,644.6487,252.108963012695,167266.7621918,1,136.0620575,401.1104125977,9057.189453125,4.4,ORB59709
237,661.4285,252.108993530273,191374.4692841,1,136.0613861,5806.2250976563,6068.9365234375,95.7,ORB59709
244,681.2185,252.109039306641,204926.1006088,1,136.0613556,6227.6088867188,6227.6088867188,100.0,ORB59709
251,701.009,252.108993530273,197082.4086151,1,136.0613556,6060.6743164063,6060.6743164063,100.0,ORB59709
257,717.9185,252.109039306641,216383.9659882,1,136.0613251,6003.7060546875,6003.7060546875,100.0,ORB59709
265,740.5485,252.109008789063,191544.2016068,1,136.0613556,5911.2080078125,5911.2080078125,100.0,ORB59709
272,760.3085,252.109039306641,227997.0822449,1,136.0614929,16263.4521484375,16263.4521484375,100.0,ORB59709
272,760.3085,252.109039306641,227997.0822449,1,136.062561,246.0891571045,16263.4521484375,1.5,ORB59709
279,779.789,471.201995849609,354947.1027145,2,413.1775208,149.2216796875,19869.689453125,0.8,ORB59709
321,894.2786,252.108978271484,390666.7784119,1,136.0615692,8749.0390625,8749.0390625,100.0,ORB59709
407,1131.8385,252.108947753906,177142.910141,1,136.061264,4938.6284179688,4938.6284179688,100.0,ORB59709
413,1148.5389,252.108947753906,173381.9311447,1,136.0613708,12480.4296875,12480.4296875,100.0,ORB59709
419,1165.359,252.108963012695,184289.1390305,1,136.0613708,12552.9697265625,12552.9697265625,100.0,ORB59709
419,1165.359,252.108963012695,184289.1390305,1,136.062088,397.6112365723,12552.9697265625,3.2,ORB59709
426,1185.2288,252.108993530273,158857.3086243,1,136.0612793,4693.2563476563,4693.2563476563,100.0,ORB59709
432,1202.0688,252.108993530273,145816.4761429,1,136.0613251,9898.3203125,9898.3203125,100.0,ORB59709
439,1221.8585,252.108978271484,132400.5177689,1,136.0613556,6995.1806640625,6995.1806640625,100.0,ORB59709
439,1221.8585,252.108978271484,132400.5177689,1,136.0619965,282.909942627,6995.1806640625,4.0,ORB59709
34,91.8294,420.161071777344,14939356.24541,1,304.1134644,2081065.0,2081065.0,100.0,ORB59710
36,96.4618,442.14306640625,3545357.507385,1,326.0956421,256383.3125,256383.3125,100.0,ORB59710
38,102.2712,420.161071777344,15166422.63399,1,304.111084,20934.771484375,4187502.0,0.5,ORB59710
38,102.2712,420.161071777344,15166422.63399,1,304.1136169,4187502.0,4187502.0,100.0,ORB59710
42,112.4012,420.161193847656,2141645.259857,1,304.1113586,9475.6240234375,222198.515625,4.3,ORB59710
42,112.4012,420.161193847656,2141645.259857,1,304.113739,222198.515625,222198.515625,100.0,ORB59710
42,112.4012,420.161193847656,2141645.259857,1,304.116333,6383.8852539063,222198.515625,2.9,ORB59710
45,121.242,442.142883300781,404656.803772,1,326.0951843,2983.7087402344,48131.98828125,6.2,ORB59710
46,124.1612,420.161193847656,2178827.471992,1,304.1137695,28711.107421875,41968.953125,68.4,ORB59710
48,128.9397,252.109069824219,70993884.52814,1,136.0608521,255383.1875,10070219.0,2.5,ORB59710
48,128.9397,252.109069824219,70993884.52814,1,136.0615692,10070219.0,10070219.0,100.0,ORB59710
48,128.9397,252.109069824219,70993884.52814,1,136.0630341,49088.7734375,10070219.0,0.5,ORB59710
49,130.66,252.109069824219,71414984.52722,1,136.0616302,4754028.5,4754028.5,100.0,ORB59710
49,130.66,252.109069824219,71414984.52722,1,136.0628357,66868.75,4754028.5,1.4,ORB59710
50,132.8017,290.086181640625,4614760.577881,1,174.03862,116899.1953125,116899.1953125,100.0,ORB59710
51,135.7512,268.104125976563,2945214.703796,1,152.0553131,4361.9106445313,342302.71875,1.3,ORB59710
51,135.7512,268.104125976563,2945214.703796,1,152.0566559,342302.71875,342302.71875,100.0,ORB59710
51,135.7512,268.104125976563,2945214.703796,1,152.0578461,4377.990234375,342302.71875,1.3,ORB59710
55,147.2791,252.108963012695,2304102.064705,1,136.0616302,55637.984375,55637.984375,100.0,ORB59710
55,147.2791,252.108963012695,2304102.064705,1,136.0623016,3656.8603515625,55637.984375,6.6,ORB59710
55,147.2791,252.108963012695,2304102.064705,1,136.0629883,385.6062011719,55637.984375,0.7,ORB59710
60,161.3513,252.108963012695,2308123.461624,1,136.0617065,87912.6328125,87912.6328125,100.0,ORB59710
63,169.3512,252.10905456543,1185607.05497,1,136.0607147,1594.3558349609,65485.3046875,2.4,ORB59710
63,169.3512,252.10905456543,1185607.05497,1,136.0615997,65485.3046875,65485.3046875,100.0,ORB59710
67,181.4812,582.213745117188,189468.2950287,1,466.165802,907.0621948242,23612.177734375,3.8,ORB59710
71,192.1113,252.109085083008,846465.4088287,1,136.061676,42196.3359375,42196.3359375,100.0,ORB59710
71,192.1113,252.109085083008,846465.4088287,1,136.0623627,2876.4794921875,42196.3359375,6.8,ORB59710
71,192.1113,252.109085083008,846465.4088287,1,136.0630341,566.182434082,42196.3359375,1.3,ORB59710
76,206.3591,265.079437255859,8509669.720734,1,149.0308533,323.1761169434,67368.875,0.5,ORB59710
76,206.3591,265.079437255859,8509669.720734,1,149.0312805,532.8614501953,67368.875,0.8,ORB59710
76,206.3591,265.079437255859,8509669.720734,1,149.0321045,49602.99609375,67368.875,73.6,ORB59710
76,206.3591,265.079437255859,8509669.720734,1,149.0328369,4624.5229492188,67368.875,6.9,ORB59710
79,214.6613,539.1064453125,1083030.715012,1,423.0592957,5915.330078125,17126.771484375,34.5,ORB59710
80,217.6018,243.097610473633,806719.6430359,1,127.0497894,4952.7915039063,7959.0234375,62.2,ORB59710
81,220.1212,265.079437255859,8597154.027237,1,149.031601,328.1181335449,4043.8371582031,8.1,ORB59710
86,234.1017,252.109085083008,477070.0248413,1,136.0607605,373.6858520508,31932.97265625,1.2,ORB59710
86,234.1017,252.109085083008,477070.0248413,1,136.0616455,31932.97265625,31932.97265625,100.0,ORB59710
86,234.1017,252.109085083008,477070.0248413,1,136.0622559,2827.1416015625,31932.97265625,8.9,ORB59710
93,253.8912,252.109085083008,407042.7343597,1,136.061615,28027.671875,28027.671875,100.0,ORB59710
93,253.8912,252.109085083008,407042.7343597,1,136.0629578,230.3014678955,28027.671875,0.8,ORB59710
100,273.6815,252.109085083008,390374.5774689,1,136.0606384,400.091217041,25328.23828125,1.6,ORB59710
100,273.6815,252.109085083008,390374.5774689,1,136.0615845,25328.23828125,25328.23828125,100.0,ORB59710
100,273.6815,252.109085083008,390374.5774689,1,136.0622253,1912.8474121094,25328.23828125,7.6,ORB59710
107,293.4712,266.124816894531,452527.6832504,1,150.0763092,458.959197998,58887.7265625,0.8,ORB59710
107,293.4712,266.124816894531,452527.6832504,1,150.0775299,58887.7265625,58887.7265625,100.0,ORB59710
107,293.4712,266.124816894531,452527.6832504,1,150.0789185,513.5281982422,58887.7265625,0.9,ORB59710
109,299.2818,252.109085083008,333929.8645248,1,136.0614166,10019.8798828125,10019.8798828125,100.0,ORB59710
113,310.3213,266.124847412109,657302.366539,1,150.0770416,9278.1806640625,9278.1806640625,100.0,ORB59710
113,310.3213,266.124847412109,657302.366539,1,150.0778046,872.0378417969,9278.1806640625,9.4,ORB59710
116,319.0717,252.109069824219,267853.8694992,1,136.0614166,9886.533203125,9886.533203125,100.0,ORB59710
122,335.9212,252.109024047852,263478.7481155,1,136.0614166,9286.443359375,9286.443359375,100.0,ORB59710
129,355.7112,252.109039306641,280973.9509048,1,136.0613861,8722.171875,8722.171875,100.0,ORB59710
136,375.5018,252.109008789063,227828.3604965,1,136.0614166,8268.0712890625,8268.0712890625,100.0,ORB59710
144,398.2217,252.109024047852,249813.2660217,1,136.0615387,18728.69140625,18728.69140625,100.0,ORB59710
144,398.2217,252.109024047852,249813.2660217,1,136.0621796,684.2456665039,18728.69140625,3.7,ORB59710
150,415.0723,252.108993530273,237158.7052155,1,136.0606537,329.3629150391,17606.146484375,1.9,ORB59710
150,415.0723,252.108993530273,237158.7052155,1,136.0615234,17606.146484375,17606.146484375,100.0,ORB59710
150,415.0723,252.108993530273,237158.7052155,1,136.0621643,992.5796508789,17606.146484375,5.6,ORB59710
157,434.8624,252.109039306641,215545.490509,1,136.0613708,7347.8295898438,7347.8295898438,100.0,ORB59710
164,454.6527,252.109039306641,222824.6522903,1,136.0608368,540.9923706055,15962.42578125,3.4,ORB59710
164,454.6527,252.109039306641,222824.6522903,1,136.0615387,15962.42578125,15962.42578125,100.0,ORB59710
164,454.6527,252.109039306641,222824.6522903,1,136.0624847,395.2005615234,15962.42578125,2.5,ORB59710
171,474.4524,252.109008789063,214032.4463577,1,136.0613708,6588.8081054688,6588.8081054688,100.0,ORB59710
178,494.2312,252.109008789063,200190.9051743,1,136.0615234,15227.322265625,15227.322265625,100.0,ORB59710
186,517.0323,252.108993530273,204529.2070999,1,136.0613708,5443.4965820313,5443.4965820313,100.0,ORB59710
193,536.8112,252.109008789063,197635.7836304,1,136.0614014,10268.9375,10268.9375,100.0,ORB59710
200,556.6012,252.109039306641,206405.8612518,1,136.0605011,134.6346130371,14068.0087890625,1.0,ORB59710
200,556.6012,252.109039306641,206405.8612518,1,136.060791,259.6007080078,14068.0087890625,1.8,ORB59710
200,556.6012,252.109039306641,206405.8612518,1,136.0614624,14068.0087890625,14068.0087890625,100.0,ORB59710
200,556.6012,252.109039306641,206405.8612518,1,136.0621796,190.0643157959,14068.0087890625,1.4,ORB59710
207,576.4012,252.108993530273,182508.3974609,1,136.0614471,13401.1083984375,13401.1083984375,100.0,ORB59710
207,576.4012,252.108993530273,182508.3974609,1,136.0621185,471.8153381348,13401.1083984375,3.5,ORB59710
214,596.1812,252.109008789063,175460.3396225,1,136.0613861,4612.9956054688,4612.9956054688,100.0,ORB59710
221,615.9713,252.108993530273,187583.6597824,1,136.0608215,325.7839355469,13742.732421875,2.4,ORB59710
221,615.9713,252.108993530273,187583.6597824,1,136.0614929,13742.732421875,13742.732421875,100.0,ORB59710
221,615.9713,252.108993530273,187583.6597824,1,136.0622559,342.2029724121,13742.732421875,2.5,ORB59710
228,635.7612,252.108993530273,190612.9367371,1,136.0613708,6662.3408203125,6662.3408203125,100.0,ORB59710
234,652.5415,252.109008789063,195668.9504623,1,136.06073,135.2903594971,7189.3012695313,1.9,ORB59710
234,652.5415,252.109008789063,195668.9504623,1,136.0614471,7189.3012695313,7189.3012695313,100.0,ORB59710
255,711.7518,252.109069824219,224384.277832,1,136.0613861,6908.9614257813,6908.9614257813,100.0,ORB59710
262,731.5312,252.109008789063,226909.0796204,1,136.0614014,8352.9619140625,8352.9619140625,100.0,ORB59710
269,751.3912,252.10905456543,277816.8893051,1,136.0607605,252.0260467529,17344.953125,1.5,ORB59710
269,751.3912,252.10905456543,277816.8893051,1,136.0615082,17344.953125,17344.953125,100.0,ORB59710
269,751.3912,252.10905456543,277816.8893051,1,136.0627136,244.3884735107,17344.953125,1.4,ORB59710
276,770.9812,252.109008789063,282490.1365967,1,136.0615234,20212.3515625,20212.3515625,100.0,ORB59710
297,829.0512,413.26611328125,641280.8794556,1,297.2189941,116.2699584961,33951.6328125,0.3,ORB59710
319,889.4415,252.109008789063,463760.424942,1,136.0614471,11388.9482421875,11388.9482421875,100.0,ORB59710
325,906.0018,252.109008789063,474645.1173859,1,136.0615997,25047.58984375,25047.58984375,100.0,ORB59710
325,906.0018,252.109008789063,474645.1173859,1,136.0622559,1162.5977783203,25047.58984375,4.6,ORB59710
325,906.0018,252.109008789063,474645.1173859,1,136.0628204,214.6089324951,25047.58984375,0.9,ORB59710
403,1119.6218,252.109008789063,209819.5357971,1,136.0614319,17715.298828125,17715.298828125,100.0,ORB59710
403,1119.6218,252.109008789063,209819.5357971,1,136.0621338,315.1264953613,17715.298828125,1.8,ORB59710
409,1136.4012,252.109008789063,208443.5396576,1,136.0612793,6857.2397460938,6857.2397460938,100.0,ORB59710
415,1153.2512,252.109008789063,209861.5806427,1,136.0606995,332.9413146973,15617.4912109375,2.1,ORB59710
415,1153.2512,252.109008789063,209861.5806427,1,136.0614319,15617.4912109375,15617.4912109375,100.0,ORB59710
415,1153.2512,252.109008789063,209861.5806427,1,136.0623016,220.8312072754,15617.4912109375,1.4,ORB59710
422,1173.1017,252.109024047852,193867.2881088,1,136.0607452,341.2237548828,13745.5322265625,2.5,ORB59710
422,1173.1017,252.109024047852,193867.2881088,1,136.0613708,13745.5322265625,13745.5322265625,100.0,ORB59710
422,1173.1017,252.109024047852,193867.2881088,1,136.0621338,387.315246582,13745.5322265625,2.8,ORB59710
428,1189.9517,252.108993530273,184911.5935822,1,136.0607452,366.0361938477,11327.5546875,3.2,ORB59710
428,1189.9517,252.108993530273,184911.5935822,1,136.0613861,11327.5546875,11327.5546875,100.0,ORB59710
435,1209.6812,252.108993530273,170813.3436432,1,136.0604248,152.6800994873,9459.13671875,1.6,ORB59710
435,1209.6812,252.108993530273,170813.3436432,1,136.0613708,9459.13671875,9459.13671875,100.0,ORB59710
442,1229.5312,252.108978271484,133196.1735611,1,136.0612488,2669.9877929688,3978.1142578125,67.1,ORB59710
