scan,retention_sec,precursor_mz,precursor_intensity,charge,ms2_mz,ms2_intensity,ms2_max_intensity,ms2_relative_intensity,filename
35,93.9185,250.07975769043,1476110.869453,1,134.0318756,2773.9240722656,4864.8564453125,57.0,ORB59709
38,102.7485,287.146179199219,414880.3046646,1,171.0986176,117.7273635864,3446.8952636719,3.4,ORB59709
41,111.057,281.074340820313,17765933.45618,1,165.0267487,1123107.375,1123107.375,100.0,ORB59709
41,111.057,281.074340820313,17765933.45618,1,165.0280304,8480.8896484375,1123107.375,0.8,ORB59709
44,118.5086,541.135620117188,1805164.630722,1,425.0881348,18424.015625,42857.8828125,43.0,ORB59709
45,121.4589,281.074340820313,17993065.62086,1,165.026886,59138.4375,59138.4375,100.0,ORB59709
45,121.4589,281.074340820313,17993065.62086,1,165.0286102,554.8955688477,59138.4375,0.9,ORB59709
53,143.7373,252.108978271484,17711710.48151,1,136.0606537,22152.44921875,6509153.5,0.3,ORB59709
53,143.7373,252.108978271484,17711710.48151,1,136.061615,6509153.5,6509153.5,100.0,ORB59709
53,143.7373,252.108978271484,17711710.48151,1,136.0626526,29844.345703125,6509153.5,0.5,ORB59709
54,144.5186,274.091064453125,1847553.380829,1,158.0431366,1149.6057128906,4187.8227539063,27.5,ORB59709
54,144.5186,274.091064453125,1847553.380829,1,158.0439148,287.0400695801,4187.8227539063,6.9,ORB59709
55,147.9788,252.108978271484,17839308.64847,1,136.0608521,214890.796875,8234526.0,2.6,ORB59709
55,147.9788,252.108978271484,17839308.64847,1,136.061615,8234526.0,8234526.0,100.0,ORB59709
55,147.9788,252.108978271484,17839308.64847,1,136.0625,172571.6875,8234526.0,2.1,ORB59709
55,147.9788,252.108978271484,17839308.64847,1,136.0630188,55988.68359375,8234526.0,0.7,ORB59709
57,152.9687,290.085998535156,593430.1962891,1,174.038681,129157.6328125,129157.6328125,100.0,ORB59709
60,161.5475,252.108917236328,3646107.719398,1,136.0602875,6468.3911132813,210779.359375,3.1,ORB59709
60,161.5475,252.108917236328,3646107.719398,1,136.0616302,210779.359375,210779.359375,100.0,ORB59709
63,169.7185,290.0859375,425622.3890152,1,174.0381317,3250.0505371094,4068.4770507813,79.9,ORB59709
64,172.5886,268.103973388672,378544.3972397,1,152.0555573,462.9483642578,18885.25390625,2.5,ORB59709
64,172.5886,268.103973388672,378544.3972397,1,152.0563812,18885.25390625,18885.25390625,100.0,ORB59709
64,172.5886,268.103973388672,378544.3972397,1,152.0578918,201.4785461426,18885.25390625,1.1,ORB59709
65,175.5291,252.108917236328,3661489.177498,1,136.061615,69718.3046875,69718.3046875,100.0,ORB59709
65,175.5291,252.108917236328,3661489.177498,1,136.0623322,2496.4265136719,69718.3046875,3.6,ORB59709
65,175.5291,252.108917236328,3661489.177498,1,136.0627899,769.0759887695,69718.3046875,1.1,ORB59709
68,183.5885,252.109039306641,1332618.708344,1,136.0605927,1012.0423583984,78367.2578125,1.3,ORB59709
68,183.5885,252.109039306641,1332618.708344,1,136.0610352,2634.150390625,78367.2578125,3.4,ORB59709
68,183.5885,252.109039306641,1332618.708344,1,136.0616913,78367.2578125,78367.2578125,100.0,ORB59709
68,183.5885,252.109039306641,1332618.708344,1,136.0628052,662.6196899414,78367.2578125,0.8,ORB59709
72,195.3191,252.109039306641,1331901.6483,1,136.0604706,815.4530029297,57957.2890625,1.4,ORB59709
72,195.3191,252.109039306641,1331901.6483,1,136.0606995,649.3224487305,57957.2890625,1.1,ORB59709
72,195.3191,252.109039306641,1331901.6483,1,136.0616302,57957.2890625,57957.2890625,100.0,ORB59709
72,195.3191,252.109039306641,1331901.6483,1,136.0622711,4711.1850585938,57957.2890625,8.1,ORB59709
72,195.3191,252.109039306641,1331901.6483,1,136.0627747,829.5961303711,57957.2890625,1.4,ORB59709
76,206.3585,252.109069824219,818591.369133,1,136.0615234,21885.65234375,21885.65234375,100.0,ORB59709
76,206.3585,252.109069824219,818591.369133,1,136.0621338,1405.3331298828,21885.65234375,6.4,ORB59709
76,206.3585,252.109069824219,818591.369133,1,136.0624542,293.9848937988,21885.65234375,1.3,ORB59709
76,206.3585,252.109069824219,818591.369133,1,136.0630035,169.7996063232,21885.65234375,0.8,ORB59709
82,223.2086,252.109085083008,629605.7895966,1,136.0615234,16986.001953125,16986.001953125,100.0,ORB59709
82,223.2086,252.109085083008,629605.7895966,1,136.0621796,749.465637207,16986.001953125,4.4,ORB59709
89,242.9986,252.109085083008,522487.0726395,1,136.0607452,299.5302429199,28765.111328125,1.0,ORB59709
89,242.9986,252.109085083008,522487.0726395,1,136.0610199,1067.0765380859,28765.111328125,3.7,ORB59709
89,242.9986,252.109085083008,522487.0726395,1,136.0616455,28765.111328125,28765.111328125,100.0,ORB59709
89,242.9986,252.109085083008,522487.0726395,1,136.0622864,1907.0355224609,28765.111328125,6.6,ORB59709
89,242.9986,252.109085083008,522487.0726395,1,136.0630951,230.1289672852,28765.111328125,0.8,ORB59709
96,262.7885,252.109100341797,426477.3870697,1,136.0605927,275.041229248,26403.560546875,1.0,ORB59709
96,262.7885,252.109100341797,426477.3870697,1,136.0615692,26403.560546875,26403.560546875,100.0,ORB59709
96,262.7885,252.109100341797,426477.3870697,1,136.0622253,1868.8386230469,26403.560546875,7.1,ORB59709
96,262.7885,252.109100341797,426477.3870697,1,136.0627594,285.5969848633,26403.560546875,1.1,ORB59709
104,285.4485,252.10905456543,354333.8537445,1,136.0613861,9816.521484375,9816.521484375,100.0,ORB59709
104,285.4485,252.10905456543,354333.8537445,1,136.0620422,631.7034912109,9816.521484375,6.4,ORB59709
111,305.2289,252.10905456543,306323.3005447,1,136.0613403,9138.47265625,9138.47265625,100.0,ORB59709
118,325.0192,252.109039306641,259006.6603012,1,136.0604095,208.1965179443,18718.15625,1.1,ORB59709
118,325.0192,252.109039306641,259006.6603012,1,136.0608063,696.7275390625,18718.15625,3.7,ORB59709
118,325.0192,252.109039306641,259006.6603012,1,136.0615082,18718.15625,18718.15625,100.0,ORB59709
125,344.8091,252.10905456543,244669.5812378,1,136.0606537,327.0328369141,17945.74609375,1.8,ORB59709
125,344.8091,252.10905456543,244669.5812378,1,136.0615082,17945.74609375,17945.74609375,100.0,ORB59709
125,344.8091,252.10905456543,244669.5812378,1,136.0621796,1040.4555664063,17945.74609375,5.8,ORB59709
132,364.5985,252.109024047852,222062.8674088,1,136.0613708,7005.9809570313,7005.9809570313,100.0,ORB59709
132,364.5985,252.109024047852,222062.8674088,1,136.0619812,564.6656494141,7005.9809570313,8.1,ORB59709
139,384.3885,252.108993530273,242139.6588669,1,136.0613251,7142.3413085938,7142.3413085938,100.0,ORB59709
146,404.1686,252.109024047852,220569.1908035,1,136.0614014,7972.9624023438,7972.9624023438,100.0,ORB59709
153,423.9587,252.108993530273,222868.654068,1,136.0613251,6817.2065429688,6817.2065429688,100.0,ORB59709
161,446.6893,252.109008789063,209049.2300339,1,136.060791,325.5103759766,14367.943359375,2.3,ORB59709
161,446.6893,252.109008789063,209049.2300339,1,136.0614624,14367.943359375,14367.943359375,100.0,ORB59709
167,463.5389,252.108993530273,178347.9978638,1,136.0614624,13863.08203125,13863.08203125,100.0,ORB59709
167,463.5389,252.108993530273,178347.9978638,1,136.0623779,172.327545166,13863.08203125,1.2,ORB59709
174,483.3285,252.109024047852,182140.0447769,1,136.0613251,4900.7275390625,4900.7275390625,100.0,ORB59709
182,506.1289,252.109008789063,170933.5497818,1,136.0613403,4865.6357421875,4913.1162109375,99.0,ORB59709
188,522.9092,252.108993530273,175946.4562225,1,136.0613251,4313.4697265625,4911.8823242188,87.8,ORB59709
